Data,OpenLTC,HighLTC,LowLTC,CloseLTC,VolumeLTC,CapitalLTC,OpenXRP,HighXRP,LowXRP,CloseXRP,VolumeXRP,CapitalXRP,OpenPOT,HighPOT,LowPOT,ClosePOT,VolumePOT,CapitalPOT
01/12/2014,3.58,3.61,3.57,3.58,"1,275,120","122,616,000",0.011204,0.012572,0.008105,0.012559,"3,453,750","345,989,000",0.0018390000000000001,0.0019010000000000001,0.00176,0.0017649999999999999,"1,498","306,546"
02/12/2014,3.58,3.66,3.58,3.63,"2,051,950","122,804,000",0.012587000000000001,0.013307,0.012568000000000001,0.013158000000000001,"2,206,040","388,688,000",0.0017649999999999999,0.0019010000000000001,0.0017280000000000002,0.0017280000000000002,"2,46","294,697"
03/12/2014,3.63,3.65,3.58,3.61,"1,715,450","124,626,000",0.013163999999999999,0.013184999999999999,0.012918,0.013130000000000001,"1,063,000","406,531,000",0.00173,0.001759,0.001604,0.0016710000000000002,"2,368","289,189"
04/12/2014,3.61,3.64,3.59,3.59,"2,291,670","124,172,000",0.013137000000000001,0.013347999999999999,0.013137000000000001,0.013343,"2,363,160","405,688,000",0.001674,0.0017620000000000001,0.0015429999999999999,0.001562,"3,304","280,239"
05/12/2014,3.59,3.62,3.58,3.62,"2,350,920","123,669,000",0.013336,0.013798,0.013311000000000002,0.013784999999999999,"1,281,290","411,840,000",0.001562,0.0017,0.001539,0.001611,"1,582","261,851"
06/12/2014,3.62,3.63,3.6,3.61,"1,690,520","124,520,000",0.013771,0.014412000000000001,0.013725999999999999,0.014406,"1,402,450","425,276,000",0.001614,0.0017109999999999998,0.0015890000000000001,0.001684,"2,061","271,022"
07/12/2014,3.62,3.75,3.61,3.71,"1,759,240","124,612,000",0.014406,0.014794,0.014388,0.014794,"935,386","444,877,000",0.001686,0.0017850000000000001,0.0016120000000000002,0.001639,970,"283,613"
08/12/2014,3.71,3.77,3.65,3.65,"2,295,450","127,928,000",0.014793,0.015188,0.01319,0.013421,"2,568,380","456,825,000",0.001639,0.001855,0.0016300000000000002,0.001656,"1,995","275,92"
09/12/2014,3.66,3.67,3.48,3.52,"3,606,940","126,207,000",0.013418000000000001,0.015071000000000001,0.013268,0.015068000000000002,"1,621,600","414,363,000",0.001656,0.001716,0.001526,0.001556,"1,856","279,032"
10/12/2014,3.52,3.54,3.48,3.5,"1,982,380","121,787,000",0.015071000000000001,0.015933000000000003,0.015015,0.015908000000000002,"1,116,220","465,401,000",0.001556,0.0016469999999999998,0.001462,0.0014759999999999999,"1,872","262,71"
