,Date,Price,Open,High,Low,Change %,,,,,
Monday,01/12/14,"6,152000","6,143400","6,152000","6,143400","0,140000000000000000",0.14%,01/12/14,,01/12/14,Monday
Tuesday,02/12/14,"6,149500","6,146700","6,151200","6,146200","-0,040000000000000000",-0.04%,27/03/18,,02/12/14,Tuesday
Wednesday,03/12/14,"6,150200","6,150000","6,152800","6,146300","0,010000000000000000",0.01%,"IF($I$2+ROW(I2)>=$I$3-1,2174289482,J1+1)",,03/12/14,Wednesday
Thursday,04/12/14,"6,154600","6,151000","6,155600","6,148700","0,070000000000000000",0.07%,,,04/12/14,Thursday
Friday,05/12/14,"6,150200","6,150700","6,154100","6,149700","-0,070000000000000000",-0.07%,,,05/12/14,Friday
Saturday,06/12/14,"6,157800","6,150300","6,160400","6,148933","0,076667",,,,06/12/14,Saturday
Sunday,07/12/14,"6,165400","6,149900","6,166700","6,148167","0,223333",,,,07/12/14,Sunday
Monday,08/12/14,"6,173000","6,149500","6,173000","6,147400","0,370000000000000000",0.37%,,,08/12/14,Monday
Tuesday,09/12/14,"6,187800","6,174200","6,208100","6,171900","0,240000000000000000",0.24%,,,09/12/14,Tuesday
Wednesday,10/12/14,"6,176600","6,186800","6,197700","6,166800","-0,180000000000000000",-0.18%,,,10/12/14,Wednesday
Thursday,11/12/14,"6,188600","6,171000","6,190500","6,168500","0,190000000000000000",0.19%,,,11/12/14,Thursday
Friday,12/12/14,"6,186900","6,189000","6,199500","6,180800","-0,030000000000000000",-0.03%,,,12/12/14,Friday
Saturday,13/12/14,"6,188100","6,188667","6,198000","6,181533","0,000000",,,,13/12/14,Saturday
Sunday,14/12/14,"6,189300","6,188333","6,196500","6,182267","0,030000",,,,14/12/14,Sunday
Monday,15/12/14,"6,190500","6,188000","6,195000","6,183000","0,060000000000000000",0.06%,,,15/12/14,Monday
Tuesday,16/12/14,"6,189500","6,191000","6,198200","6,188700","-0,020000000000000000",-0.02%,,,16/12/14,Tuesday
Wednesday,17/12/14,"6,197000","6,190200","6,198500","6,187300","0,120000000000000000",0.12%,,,17/12/14,Wednesday
Thursday,18/12/14,"6,214500","6,197100","6,221000","6,197100","0,280000000000000000",0.28%,,,18/12/14,Thursday
Friday,19/12/14,"6,219900","6,215100","6,230600","6,213400","0,090000000000000000",0.09%,,,19/12/14,Friday
Saturday,20/12/14,"6,220467","6,216633","6,229667","6,213967","0,070000",,,,20/12/14,Saturday
Sunday,21/12/14,"6,221033","6,218167","6,228733","6,214533","0,050000",,,,21/12/14,Sunday
Monday,22/12/14,"6,221600","6,219700","6,227800","6,215100","0,030000000000000000",0.03%,,,22/12/14,Monday
Tuesday,23/12/14,"6,225800","6,221800","6,227900","6,220200","0,070000000000000000",0.07%,,,23/12/14,Tuesday
Wednesday,24/12/14,"6,215300","6,227000","6,231800","6,214700","-0,170000000000000000",-0.17%,,,24/12/14,Wednesday
Thursday,25/12/14,"6,197000","6,215000","6,216500","6,190700","-0,290000000000000000",-0.29%,,,25/12/14,Thursday
Friday,26/12/14,"6,212900","6,199000","6,212900","6,199000","0,260000000000000000",0.26%,,,26/12/14,Friday
Saturday,27/12/14,"6,216100","6,203100","6,218233","6,203000","0,223333",,,,27/12/14,Saturday
Sunday,28/12/14,"6,219300","6,207200","6,223567","6,207000","0,186667",,,,28/12/14,Sunday
Monday,29/12/14,"6,222500","6,211300","6,228900","6,211000","0,150000000000000000",0.15%,,,29/12/14,Monday
Tuesday,30/12/14,"6,202000","6,222000","6,234600","6,195000","-0,330000000000000000",-0.33%,,,30/12/14,Tuesday
Wednesday,31/12/14,"6,206100","6,202500","6,207500","6,190800","0,070000000000000000",0.07%,,,31/12/14,Wednesday
